trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-248.96562163229152,"{0: 11, 1: 0, 2: 10, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-227.5828721934953,"{0: 12, 1: 2, 2: 5, 3: 3, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,2,-36.3432519997527,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-13.69508669260341,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-111.15016799362297,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-93.38951111807857,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-132.4839460422415,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,4,10.06174413531933,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,13,-33.83630245166105,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-14.77782643300252,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,1,-52.77977497402725,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,5,-64.14315866289537,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,18.140211265854816,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,11,-48.73414449947882,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,5,-117.74156978845463,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 3}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,11,1.6269314403758999,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,17,12.043503430966926,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,20,9.785968057631699,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,6,30.931042945509557,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,15,9.212752765936687,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,16,5.630234107298513,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,10,-3.2850089960793643,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,15,12.769138212509931,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,13,14.33939328690763,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,14,11.800699348226823,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-7.891997468234045,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,14,8.572581285895875,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,2,4.866366480809464,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,9,22.000144265271878,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,7,13.985350210549827,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
