trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.9900498337491681}",30,21,-20.74489681269898,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.3, 'e': 0.9801986733067553}",25,0,-117.93321637623178,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.3, 'e': 0.9704455335485082}",20,0,-63.12188608903851,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.3, 'e': 0.9607894391523232}",20,0,-92.2596058169477,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.3, 'e': 0.951229424500714}",35,0,-246.36042199355646,"{0: 17, 1: 7, 2: 7, 3: 0, 4: 4}",0
6,False,"{'a': 0.3, 'e': 0.9417645335842487}",25,0,-214.71612121274273,"{0: 12, 1: 4, 2: 5, 3: 0, 4: 4}",0
7,False,"{'a': 0.3, 'e': 0.9323938199059483}",25,0,-125.45983912693933,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
8,False,"{'a': 0.3, 'e': 0.9231163463866358}",20,7,-36.560600990133295,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 0}",1
9,False,"{'a': 0.3, 'e': 0.9139311852712282}",30,11,-102.83732443133854,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 2}",1
10,False,"{'a': 0.3, 'e': 0.9048374180359595}",25,0,-48.52917166718741,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.3, 'e': 0.8958341352965282}",25,0,-122.54744415169077,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.3, 'e': 0.8869204367171575}",25,0,-65.15289738112251,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.3, 'e': 0.8780954309205613}",25,0,-110.36218014012013,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.3, 'e': 0.8693582353988059}",30,0,-146.64052372466074,"{0: 17, 1: 5, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.3, 'e': 0.8607079764250578}",30,0,-204.51696902011602,"{0: 15, 1: 4, 2: 8, 3: 0, 4: 3}",0
16,False,"{'a': 0.3, 'e': 0.8521437889662113}",30,0,-108.58901334635749,"{0: 16, 1: 3, 2: 11, 3: 0, 4: 0}",0
