trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.47669660259768,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.0389371352997,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,11,1.8328796054859673,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.72335339267593,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.95344197589735,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.15614614361894,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.43225427606112,"{0: 9, 1: 5, 2: 9, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-70.4700233757949,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,19,-3.1162397411627927,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-168.90982669541927,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.2750302306553,"{0: 9, 1: 6, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.32425739368503,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.81238083792056,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-5.976500658954043,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-54.63024873894911,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-181.43645999495007,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-103.84642466422724,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.44732426399943,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.42953067267332,"{0: 8, 1: 5, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.77795956894987,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-184.73468220483804,"{0: 19, 1: 3, 2: 3, 3: 2, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-325.62210725187015,"{0: 8, 1: 2, 2: 8, 3: 2, 4: 5}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-46.83404894061402,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,7,-143.42850977558052,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 3}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-165.02259618460909,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,2,-93.44708500072673,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-172.3068181273592,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-223.87702320158724,"{0: 14, 1: 0, 2: 4, 3: 4, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-145.11353627397148,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-156.8438137322628,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
